Name,Symbol,correct,repetition,lastRevised,nextTime,responseQuality
Hydrogen,H,0,0,0,2023-02-24,0
Helium,He,0,1,2023-02-24,2023-02-25,0
Lithium,Li,0,0,0,2023-02-24,0
Beryllium,Be,0,0,0,2023-02-24,0
Boron,B,0,0,0,2023-02-24,0
Carbon,C,0,0,0,2023-02-24,0
Nitrogen,N,0,0,0,2023-02-24,0
Oxygen,O,0,0,0,2023-02-24,0
Fluorine,F,0,0,0,2023-02-24,0
Neon,Ne,0,0,0,2023-02-24,0
Sodium,Na,1,1,2023-02-24,2023-03-03,5
Magnesium,Mg,0,0,0,2023-02-24,0
Aluminum,Al,0,0,0,2023-02-24,0
Silicon,Si,0,0,0,2023-02-24,0
Phosphorus,P,0,0,0,2023-02-24,0
Sulfur,S,1,1,2023-02-24,2023-03-03,5
Chlorine,Cl,1,1,2023-02-24,2023-03-03,5
Argon,Ar,0,0,0,2023-02-24,0
Potassium,K,0,0,0,2023-02-24,0
Calcium,Ca,0,0,0,2023-02-24,0
Scandium,Sc,0,0,0,2023-02-24,0
Titanium,Ti,0,0,0,2023-02-24,0
Vanadium,V,0,0,0,2023-02-24,0
Chromium,Cr,1,1,2023-02-24,2023-03-03,5
Manganese,Mn,0,0,0,2023-02-24,0
Iron,Fe,0,0,0,2023-02-24,0
Cobalt,Co,0,0,0,2023-02-24,0
Nickel,Ni,1,1,2023-02-24,2023-03-03,5
Copper,Cu,0,0,0,2023-02-24,0
Zinc,Zn,1,1,2023-02-24,2023-03-03,5
Gallium,Ga,0,0,0,2023-02-24,0
Germanium,Ge,1,1,2023-02-24,2023-03-03,5
Arsenic,As,1,1,2023-02-24,2023-03-03,5
Selenium,Se,0,0,0,2023-02-24,0
Bromine,Br,0,0,0,2023-02-24,0
Krypton,Kr,0,1,2023-02-24,2023-02-25,0
Rubidium,Rb,0,1,2023-02-24,2023-02-25,0
Strontium,Sr,0,0,0,2023-02-24,0
Yttrium,Y,0,0,0,2023-02-24,0
Zirconium,Zr,0,1,2023-02-24,2023-02-25,0
Niobium,Nb,1,1,2023-02-24,2023-03-03,5
Molybdenum,Mo,0,0,0,2023-02-24,0
Technetium,Tc,0,1,2023-02-24,2023-02-25,0
Ruthenium,Ru,0,1,2023-02-24,2023-02-25,0
Rhodium,Rh,0,1,2023-02-24,2023-02-25,0
Palladium,Pd,0,1,2023-02-24,2023-02-25,0
Silver,Ag,0,0,0,2023-02-24,0
Cadmium,Cd,0,0,0,2023-02-24,0
Indium,In,0,1,2023-02-24,2023-02-25,0
Tin,Sn,0,1,2023-02-24,2023-02-25,0
Antimony,Sb,0,1,2023-02-24,2023-02-25,0
Tellurium,Te,0,0,0,2023-02-24,0
Iodine,I,0,1,2023-02-24,2023-02-25,0
Xenon,Xe,0,0,0,2023-02-24,0
Cesium,Cs,0,0,0,2023-02-24,0
Barium,Ba,0,0,0,2023-02-24,0
Lanthanum,La,0,0,0,2023-02-24,0
Cerium,Ce,1,1,2023-02-24,2023-03-03,5
Praseodymium,Pr,1,1,2023-02-24,2023-03-03,5
Neodymium,Nd,1,1,2023-02-24,2023-03-03,5
Promethium,Pm,1,1,2023-02-24,2023-03-03,5
Samarium,Sm,0,1,2023-02-24,2023-02-25,0
Europium,Eu,0,1,2023-02-24,2023-02-25,0
Gadolinium,Gd,0,1,2023-02-24,2023-02-25,0
Terbium,Tb,0,1,2023-02-24,2023-02-25,0
Dysprosium,Dy,1,1,2023-02-24,2023-03-03,5
Holmium,Ho,0,0,0,2023-02-24,0
Erbium,Er,0,0,0,2023-02-24,0
Thulium,Tm,0,0,0,2023-02-24,0
Ytterbium,Yb,0,1,2023-02-24,2023-02-25,0
Lutetium,Lu,0,0,0,2023-02-24,0
Hafnium,Hf,0,0,0,2023-02-24,0
Tantalum,Ta,1,1,2023-02-24,2023-03-03,5
Tungsten,W,1,1,2023-02-24,2023-03-03,5
Rhenium,Re,0,1,2023-02-24,2023-02-25,0
Osmium,Os,0,0,0,2023-02-24,0
Iridium,Ir,1,1,2023-02-24,2023-03-03,5
Platinum,Pt,0,0,0,2023-02-24,0
Gold,Au,0,0,0,2023-02-24,0
Mercury,Hg,0,0,0,2023-02-24,0
Thallium,Tl,0,0,0,2023-02-24,0
Lead,Pb,0,0,0,2023-02-24,0
Bismuth,Bi,0,1,2023-02-24,2023-02-25,0
Polonium,Po,1,1,2023-02-24,2023-03-03,5
Astatine,At,0,1,2023-02-24,2023-02-25,0
Radon,Rn,0,0,0,2023-02-24,0
Francium,Fr,1,1,2023-02-24,2023-03-03,5
Radium,Ra,0,1,2023-02-24,2023-02-25,0
Actinium,Ac,0,0,0,2023-02-24,0
Thorium,Th,0,0,0,2023-02-24,0
Protactinium,Pa,0,0,0,2023-02-24,0
Uranium,U,0,0,0,2023-02-24,0
Neptunium,Np,0,1,2023-02-24,2023-02-25,0
Plutonium,Pu,0,0,0,2023-02-24,0
Americium,Am,0,0,0,2023-02-24,0
Curium,Cm,0,1,2023-02-24,2023-02-25,0
Berkelium,Bk,0,0,0,2023-02-24,0
Californium,Cf,0,0,0,2023-02-24,0
Einsteinium,Es,0,0,0,2023-02-24,0
Fermium,Fm,0,0,0,2023-02-24,0
Mendelevium,Md,0,0,0,2023-02-24,0
Nobelium,No,1,1,2023-02-24,2023-03-03,5
Lawrencium,Lr,1,1,2023-02-24,2023-03-03,5
Rutherfordium,Rf,0,0,0,2023-02-24,0
Dubnium,Db,0,1,2023-02-24,2023-02-25,0
Seaborgium,Sg,0,0,0,2023-02-24,0
Bohrium,Bh,0,1,2023-02-24,2023-02-25,0
Hassium,Hs,0,0,0,2023-02-24,0
Meitnerium,Mt,0,0,0,2023-02-24,0
